"","Specimen.Code","Common.Name","Latin.Name","City","Province","Country","Latitude","Longitude","Matrix.PCR.Result","Matrix.PCR.Result.Date","PCRResultDate","week","weekNum"
"344","CWHC.136087.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Positive ","2017-09-07",2017-09-07,4,5
"345","CWHC.137985.1","Great Horned Owl","Bubo virginianus","Ingersoll","Ontario","Canada",43.0117444,-80.8347036,"Negative ","2017-12-19",2017-12-19,2,20
"346","CWHC.138179.1","Great Horned Owl","Bubo virginianus","Wildwood","Alberta","Canada",53.61,-115.2355,"Negative ","2017-12-12",2017-12-12,2,19
"347","CWHC.135774.1","Double-Crested Cormorant","Phalacrocorax auritus","Sauble Beach","Ontario","Canada",44.618752,-81.267132,"Negative ","2017-08-16",2017-08-16,3,2
"348","CWHC.136424.1","American Robin","Turdus migratorius","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"349","CWHC.136412.2","Mallard","Anas platyrhynchos","Hudson","Québec","Canada",45.468429,-74.160436,"Negative ","2017-10-05",2017-10-05,4,9
"350","CWHC.136078.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Suspicious ","2017-10-11",2017-10-11,3,10
"351","CWHC.136441.1","California Gull","Larus californicus","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"352","CWHC.135628.1","American Crow","Corvus brachyrhynchos","Charlottetown","Prince Edward Island","Canada",46.2332521,-63.141263,"Negative ","2017-08-11",2017-08-11,5,1
"354","CWHC.136173.1","Rock Pigeon","Columba livia","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"355","CWHC.136622.1","Ring-Billed Gull","Larus delawarensis","Red Deer","Alberta","Canada",52.2681,-113.8112,"Negative ","2017-10-03",2017-10-03,2,9
"356","CWHC.136998.5","Long-Tailed Duck","Clangula hyemalis","Toronto","Ontario","Canada",43.662648,-79.3100073,"Negative ","2017-11-14",2017-11-14,2,15
"357","CWHC.136190.1","Common Raven","Corvus corax","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"358","CWHC.135875.1","American Crow","Corvus brachyrhynchos","Regina","Saskatchewan","Canada",50.4867883,-104.6695119,"Negative ","2017-08-31",2017-08-31,4,4
"359","CWHC.138150.1","Blue Jay","Cyanocitta cristata","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"360","CWHC.138143.1","House Sparrow","Passer domesticus","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"362","CWHC.138147.1","Northern Shrike","Lanius excubitor","Gibbons","Alberta","Canada",53.8258,-113.3266,"Negative ","2017-12-12",2017-12-12,2,19
"364","CWHC.136399.1","American Crow","Corvus brachyrhynchos","Charlottetown","Prince Edward Island","Canada",46.22736,-63.14015,"Negative ","2017-10-31",2017-10-31,2,13
"365","CWHC.137794.1","Bald Eagle","Haliaeetus leucocephalus","Tignish","Prince Edward Island","Canada",47.05266,-63.99291,"Negative ","2018-01-10",2018-01-10,3,23
"366","CWHC.138171.1","Red-Necked Grebe","Podiceps grisegena","Provost","Alberta","Canada",52.356,-110.2608,"Negative ","2017-12-12",2017-12-12,2,19
"367","CWHC.136014.1","Double-Crested Cormorant","Phalacrocorax auritus","Hamilton","Ontario","Canada",43.293795,-79.79325,"Negative ","2017-08-23",2017-08-23,3,3
"368","CWHC.138166.1","Mallard","Anas platyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"369","CWHC.135636.3","Ring-Billed Gull","Larus delawarensis","Sorel","Québec","Canada",46.04833333,-73.11277778,"Suspicious ","2017-08-09",2017-08-09,3,1
"371","CWHC.138161.1","Ring-Billed Gull","Larus delawarensis","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"372","CWHC.136636.1","Cedar Waxwing","Bombycilla cedrorum","Stony Plain","Alberta","Canada",53.5279,-114.0019,"Negative ","2017-10-05",2017-10-05,4,9
"373","CWHC.136652.1","Redhead","Aythya americana","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-10-05",2017-10-05,4,9
"374","CWHC.136069.1","Mallard","Anas platyrhynchos","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-09-07",2017-09-07,4,5
"375","CWHC.136601.1","Rock Pigeon","Columba livia","Charlottetown","Prince Edward Island","Canada",46.23132,-63.12696,"Negative ","2017-10-31",2017-10-31,2,13
"376","CWHC.137967.1","Tundra Swan","Cygnus columbianus","Pain Court","Ontario","Canada",42.366334,-82.405108,"Negative ","2017-12-18",2017-12-18,1,20
"377","CWHC.136360.1","Common Loon","Gavia immer","Cambridge","Nova Scotia","Canada",45.06866048,-64.64375246,"Negative ","2017-10-31",2017-10-31,2,13
"378","CWHC.135953.1","California Gull","Larus californicus","Saskatoon","Saskatchewan","Canada",52.1332144,-106.6700458,"Negative ","2017-08-31",2017-08-31,4,4
"379","CWHC.136654.1","Sandhill Crane","Grus canadensis","Fort McMurray","Alberta","Canada",56.7264,-111.3803,"Negative ","2017-10-05",2017-10-05,4,9
"380","CWHC.136235.1","Rock Pigeon","Columba livia","Charlottetown","Prince Edward Island","Canada",46.23701,-63.12817,"Negative ","2017-09-28",2017-09-28,4,8
"381","CWHC.138141.1","Double-Crested Cormorant","Phalacrocorax auritus","Toronto","Ontario","Canada",43.7202412,-79.2411456,"Negative ","2017-11-27",2017-11-27,1,17
"382","CWHC.136094.1","Green-Winged Teal","Anas carolinensis","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-09-07",2017-09-07,4,5
