Specimen Code,Common Name,Latin Name,City,Province,Country,Latitude,Longitude,Matrix PCR Result,Matrix PCR Sample Type,Matrix PCR Lab,Matrix PCR Result Date,H5 PCR Result,H5 PCR Sample Type,H5 PCR Lab,H5 PCR Result Date,H7 PCR Result,H7 PCR Sample Source,H7 Testing Lab,H7 PCR Result Date
CWHC.137680.3,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-11-23,,,,,,,,
CWHC.135882.1,Double-Crested Cormorant,Phalacrocorax auritus,Tobermory,Ontario,Canada,45.249671,-81.640491,Negative ,,Animal Health Lab - University of Guelph ,2017-08-17,,,,,,,,
CWHC.137605.1,Grey Jay,Perisoreus canadensis,,,,45.568462,-78.712981,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-12-18,,,,,,,,
CWHC.138186.1,Great Blue Heron,Ardea herodias,Musquodoboit Harbour,Nova Scotia,Canada,44.7199077,-63.1645433,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136922.1,Bald Eagle,Haliaeetus leucocephalus,New Glasgow,Nova Scotia,Canada,45.58717,-62.64512,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-11,,,,,,,,
CWHC.135709.1,Blue Jay,Cyanocitta cristata,Cow Bay,Nova Scotia,Canada,44.6248345,-63.4449887,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CCWHC.000042381,American Black Duck,Anas rubripes,,,,47.5007833,-52.79,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.136653.1,American Coot,Fulica americana,Sherwood Park,Alberta,Canada,53.5412,-113.2957,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.138396.1,Greater White-Fronted Goose,Anser albifrons,Amos,Québec,Canada,48.569811,-78.121372,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2018-01-16,,,,,,,,
CWHC.135885.1,Double-Crested Cormorant,Phalacrocorax auritus,Saskatoon,Saskatchewan,Canada,52.143532,-106.6429494,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.136189.1,Ring-Billed Gull,Larus delawarensis,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136427.1,American Robin,Turdus migratorius,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.137217.1,Trumpeter Swan,Cygnus buccinator,Pickering,Ontario,Canada,43.815293,-79.086549,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-11-21,,,,,,,,
CCWHC.000042385,American Black Duck,Anas rubripes,,,,47.5007833,-52.79,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.136461.1,American Coot,Fulica americana,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136053.2,American Crow,Corvus brachyrhynchos,Strathroy,Ontario,Canada,42.9754343,-81.6320135,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-08,,,,,,,,
CWHC.136768.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.554,-113.5373,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-19,,,,,,,,
CWHC.136168.1,Sora,Porzana carolina,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.138154.1,American Crow,Corvus brachyrhynchos,Beaumont,Alberta,Canada,53.3524,-113.4154,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136064.1,Double-Crested Cormorant,Phalacrocorax auritus,Saint-Hyacinthe,Québec,Canada,45.60722222,-73.01305556,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-08,,,,,,,,
CWHC.135684.1,American White Pelican,Pelecanus erythrorhynchos,Lavallee Lake,Saskatchewan,Canada,54.2833333,-106.55,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136198.1,Swainson's Hawk,Buteo swainsoni,High River,Alberta,Canada,50.5801,-113.8707,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.138177.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136751.1,American Black Duck,Anas rubripes,River Hebert,Nova Scotia,Canada,45.6979,-64.3739,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.137680.4,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-11-23,,,,,,,,
CWHC.138577.5,Herring Gull,Larus argentatus,Ottawa,Ontario,Canada,45.393302,-75.701534,Positive ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-16,,,,,,,,
CWHC.138577.3,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-16,,,,,,,,
CWHC.138959.1,Wild Turkey,Meleagris gallopavo,Wellandport,Ontario,Canada,43.072267,-79.576229,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-22,,,,,,,,
CWHC.138178.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136012.1,Ring-Billed Gull,Larus delawarensis,Québec,Québec,Canada,46.75027778,-71.31388889,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-01,,,,,,,,
CWHC.136080.1,Green-Winged Teal,Anas carolinensis,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.136296.7,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,,,,,,,,,,,,
CWHC.136408.1,Swainson's Hawk,Buteo swainsoni,Madden,Alberta,Canada,51.3879,-114.2802,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-13,,,,,,,,
CWHC.136639.1,Northern Flicker,Colaptes auratus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136455.1,American Crow,Corvus brachyrhynchos,Sherwood Park,Alberta,Canada,53.5412,-113.2957,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.138152.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136470.1,Red-Tailed Hawk,Buteo jamaicensis,,Alberta,Canada,53.8373,-113.4121,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-19,,,,,,,,
CWHC.135759.2,Pileated Woodpecker,Dryocopus pileatus,Oakfield,Nova Scotia,Canada,44.89656,-63.58184,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.136651.1,Redhead,Aythya americana,St. Albert,Alberta,Canada,53.6305,-113.6256,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136342.1,Cape May Warbler,Dendroica tigrina,Saint-Hugues,Québec,Canada,45.79361111,-72.85972222,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-26,,,,,,,,
CWHC.136259.1,Canada Goose,Branta canadensis,Saint-Denis-sur-Richelieu,Québec,Canada,0,0,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-19,,,,,,,,
CWHC.136627.1,American Crow,Corvus brachyrhynchos,Leduc,Alberta,Canada,53.258,-113.5502,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.135824.1,Red-Tailed Hawk,Buteo jamaicensis,Elbow,Saskatchewan,Canada,51.1203148,-106.5969026,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.136296.10,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,,,,,,,,,,,,
CWHC.136623.1,Ring-Billed Gull,Larus delawarensis,Red Deer,Alberta,Canada,52.2681,-113.8112,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-03,,,,,,,,
CWHC.136750.1,American Black Duck,Anas rubripes,New Horton,New Brunswick,Canada,45.6907,-64.7026,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136004.7,Ring-Billed Gull,Larus delawarensis,Lac-Etchemin,Québec,Canada,46.39555556,-70.50833333,Suspicious ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-30,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-29,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-29
CWHC.136443.1,Herring Gull,Larus argentatus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.135973.1,Common Loon,Gavia immer,Sainte-Véronique,Québec,Canada,46.50766667,-74.95188889,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-01,,,,,,,,
CWHC.136341.1,Purple Finch,Carpodacus purpureus,Sherbrooke,Québec,Canada,45.36935,-71.88788,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-26,,,,,,,,
CWHC.135996.1,Blue Jay,Cyanocitta cristata,Cornwall,Prince Edward Island,Canada,46.25415,-63.19199,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.136297.1,Black Guillemot,Cepphus grylle,East Bay Island,Nunavut,Canada,64.029722,-81.787972,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-09-21,,,,,,,,
CWHC.136296.1,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-09-22,,,,,,,,
CWHC.136666.1,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.302899,-75.775443,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-10-20,,,,,,,,
CWHC.135966.1,Canada Goose,Branta canadensis,Toronto,Ontario,Canada,43.650136,-79.499095,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-24,,,,,,,,
CWHC.136738.1,Trumpeter Swan,Cygnus buccinator,Aurora,Ontario,Canada,43.976,-79.4903,Unknown ,,,2018-01-18,,,,,,,,
CWHC.136762.1,Rock Pigeon,Columba livia,,Alberta,Canada,53.4176,-113.5666,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-19,,,,,,,,
CWHC.136666.2,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.302899,-75.775443,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-10-20,,,,,,,,
CWHC.136296.4,Mallard,Anas platyrhynchos,Peterborough,Ontario,Canada,44.331715,-78.331127,,,,,,,,,,,,
CWHC.139187.1,Common Raven,Corvus corax,Rocky Harbour,Newfoundland and Labrador,Canada,49.60363,-57.93418,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136645.1,Ring-Billed Gull,Larus delawarensis,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.137129.1,Common Raven,Corvus corax,Fredericton,New Brunswick,Canada,45.9380943,-66.7049573,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.138180.1,Great Horned Owl,Bubo virginianus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.135633.1,American Crow,Corvus brachyrhynchos,Wellington North,Ontario,Canada,43.841392,-80.559464,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-07-18,,,,,,,,
CWHC.136234.1,Rock Pigeon,Columba livia,,Prince Edward Island,Canada,46.2338,-63.13426,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.135733.1,American Crow,Corvus brachyrhynchos,Saskatoon,Saskatchewan,Canada,52.1332144,-106.6700458,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136545.1,Canada Goose,Branta canadensis,Summerside,Prince Edward Island,Canada,46.4019,-63.79712,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136270.1,Common Loon,Gavia immer,Kejimkujik National Park,Nova Scotia,Canada,44.38399462,-65.20718747,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136184.1,Ring-Billed Gull,Larus delawarensis,St. Albert,Alberta,Canada,53.6305,-113.6256,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136042.1,Cooper's Hawk,Accipiter cooperii,Mississauga,Ontario,Canada,43.5643907,-79.749358,Negative ,Combination Sample ,,2017-08-22,,,,,,,,
CCWHC.000042386,American Black Duck,Anas rubripes,,,,47.5007833,-52.79,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.135782.1,Red-Tailed Hawk,Buteo jamaicensis,,Saskatchewan,Canada,51.760763,-105.564523,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.139063.1,Bald Eagle,Haliaeetus leucocephalus,Guysborough,Nova Scotia,Canada,45.39061,-61.49896,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.138153.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136744.1,Mallard,Anas platyrhynchos,Jolicure,New Brunswick,Canada,45.935,-64.2572,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.136412.3,Mallard,Anas platyrhynchos,Hudson,Québec,Canada,45.468429,-74.160436,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-10-05,,,,,,,,
CWHC.138139.1,Common Raven,Corvus corax,Mineville,Nova Scotia,Canada,0,0,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136028.4,Double-Crested Cormorant,Phalacrocorax auritus,Prince Edward,Ontario,Canada,44.03209,-77.57061,,,,2017-09-06,,,,,,,,
CWHC.136097.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.136067.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.138804.1,Bald Eagle,Haliaeetus leucocephalus,Boylston,Nova Scotia,Canada,45.492697,-61.537802,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136475.2,American Coot,Fulica americana,Nanton,Alberta,Canada,50.3137,-113.9228,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-13,,,,,,,,
CCWHC.000042373,Mallard x American Black Duck,Anas platyrhynchos x Anas rubripes,,,,47.5509167,-52.7396167,Negative ,Cloacal Sample ,Animal Health Lab - University of Guelph ,2008-11-10,,,,,,,,
CWHC.136809.1,Wild Turkey,Meleagris gallopavo,Combermere,Ontario,Canada,45.33794667,-77.61310991,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-10-30,,,,,,,,
CWHC.135641.1,Merlin,Falco columbarius,Saskatoon,Saskatchewan,Canada,52.1427789,-106.6955503,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.135738.1,Mallard,Anas platyrhynchos,Saint-Mathieu-de-Beloeil,Québec,Canada,45.58094444,-73.26491667,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-15,,,,,,,,
CWHC.135977.1,Mallard,Anas platyrhynchos,Saint-André,Québec,Canada,47.70519444,-69.69547222,Suspicious ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-30,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-30,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-30
CWHC.136093.1,Blue-Winged Teal,Anas discors,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.137845.1,Ruffed Grouse,Bonasa umbellus,Johnstons River,Prince Edward Island,Canada,46.25913,-62.99864,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.138255.1,Cooper's Hawk,Accipiter cooperii,Guelph,Ontario,Canada,43.5506917,-80.1891212,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-08,,,,,,,,
CWHC.136708.1,Bald Eagle,Haliaeetus leucocephalus,Miscouche,Prince Edward Island,Canada,46.45304,-63.95257,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-10-31,,,,,,,,
CWHC.136167.1,American Robin,Turdus migratorius,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136434.1,Rock Pigeon,Columba livia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.137680.7,Canada Goose,Branta canadensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-11-23,,,,,,,,
CWHC.135975.1,Mallard,Anas platyrhynchos,Mirabel,Québec,Canada,45.70444444,-73.94138889,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-09-01,,,,,,,,
CWHC.136630.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.138296.1,Wild Turkey,Meleagris gallopavo,Peterborough,Ontario,Canada,44.3547,-78.2692,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-09,,,,,,,,
CWHC.135902.1,Great Blue Heron,Ardea herodias,Charlottetown,Prince Edward Island,Canada,46.266761,-63.101676,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.136196.1,Canada Goose,Branta canadensis,Sherwood Park,Alberta,Canada,53.5412,-113.2957,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.135685.1,American White Pelican,Pelecanus erythrorhynchos,Lavallee Lake,Saskatchewan,Canada,54.2833333,-106.55,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136510.1,Canada Goose,Branta canadensis,Roberval,Québec,Canada,48.50333333,-72.21888889,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-10-03,,,,,,,,
CWHC.138151.1,Black-billed Magpie,Pica hudsonia,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136917.1,Common Loon,Gavia immer,Harvey,New Brunswick,Canada,45.75116,-67.02007,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.137013.1,Canada Goose,Branta canadensis,Saint-Eustache,Québec,Canada,45.56777778,-73.93361111,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-11-16,,,,,,,,
CWHC.139062.1,Bald Eagle,Haliaeetus leucocephalus,Boylston,Nova Scotia,Canada,45.49552,-61.53125,Pending ,Combination Sample ,AVC - Diagnostic Virology Laboratory,,,,,,,,,
CWHC.136509.1,Eastern Screech-Owl,Megascops asio,Welland,Ontario,Canada,43.001228,-79.2497869,,,,,,,,,,,,
CWHC.136916.1,Northern Saw-Whet Owl,Aegolius acadicus,St. George,New Brunswick,Canada,45.1306531,-66.8261982,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-11,,,,,,,,
CWHC.138577.6,Ring-Billed Gull,Larus delawarensis,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Animal Health Lab - University of Guelph ,2018-01-16,,,,,,,,,
CWHC.136083.1,Mallard,Anas platyrhynchos,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.135693.1,Ring-Billed Gull,Larus delawarensis,Longueuil,Québec,Canada,45.49096111,-73.47696944,Suspicious ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-08-16,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-15,Negative,Combination Sample,Laboratoire d'épidémiosurveillance animale du Québec,2017-08-15
CWHC.136089.1,American Coot,Fulica americana,,Saskatchewan,Canada,51.70114,-106.514567,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.138158.1,American Crow,Corvus brachyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.138149.1,Blue Jay,Cyanocitta cristata,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-12-12,,,,,,,,
CWHC.136824.1,Ring-Billed Gull,Larus delawarensis,Vaudreuil-Dorion,Québec,Canada,45.39361111,-74.03111111,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-11-02,,,,,,,,
CWHC.135932.1,Cooper's Hawk,Accipiter cooperii,Clavet,Saskatchewan,Canada,51.9963367,-106.3772733,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-31,,,,,,,,
CWHC.135645.1,American Crow,Corvus brachyrhynchos,Wilkie,Saskatchewan,Canada,52.4093634,-108.7036767,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.135986.1,Double-Crested Cormorant,Phalacrocorax auritus,King City,Ontario,Canada,48.161933,-79.959311,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-30,,,,,,,,
CWHC.136436.1,Ring-Billed Gull,Larus delawarensis,Edmonton,Alberta,Canada,53.5405,-113.499,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136767.1,American Crow,Corvus brachyrhynchos,Leduc,Alberta,Canada,53.258,-113.5502,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-19,,,,,,,,
CWHC.135940.2,American Crow,Corvus brachyrhynchos,Minesing,Ontario,Canada,44.448273,-79.760589,Unknown ,,,2017-08-28,,,,,,,,
CWHC.136637.1,Northern Flicker,Colaptes auratus,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136175.1,Rock Pigeon,Columba livia,Mayerthorpe,Alberta,Canada,53.9525,-115.1397,Unknown ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
CWHC.136932.1,Wild Turkey,Meleagris gallopavo,Sainte-Cécile-de-Masham,Québec,Canada,45.64793,-76.028608,Negative ,Combination Sample ,Laboratoire d'épidémiosurveillance animale du Québec ,2017-11-10,,,,,,,,
CWHC.136976.1,Double-Crested Cormorant,Phalacrocorax auritus,Corran Ban,Prince Edward Island,Canada,46.3809,-63.03852,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.138577.4,Herring Gull,Larus argentatus,Ottawa,Ontario,Canada,45.393302,-75.701534,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2018-01-16,,,,,,,,
CWHC.136027.1,Mourning Dove,Zenaida macroura,Miltonvale Park,Prince Edward Island,Canada,46.31456,-63.23705,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2017-09-28,,,,,,,,
CWHC.135926.1,Red-Tailed Hawk,Buteo jamaicensis,Brampton,Ontario,Canada,43.667356,-79.711514,Negative ,Combination Sample ,Animal Health Lab - University of Guelph ,2017-08-23,,,,,,,,
CWHC.137877.1,Northern goshawk,Accipiter gentilis,Rocky Point,Prince Edward Island,Canada,46.202405,-63.1503331,Negative ,Combination Sample ,AVC - Diagnostic Virology Laboratory ,2018-01-10,,,,,,,,
CWHC.136082.1,Green-Winged Teal,Anas carolinensis,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.135874.1,American Crow,Corvus brachyrhynchos,Saskatoon,Saskatchewan,Canada,52.1332144,-106.6700458,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-17,,,,,,,,
CWHC.136657.1,Swainson's Hawk,Buteo swainsoni,St. Albert,Alberta,Canada,53.6305,-113.6256,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136081.1,American Coot,Fulica americana,,Saskatchewan,Canada,51.701373,-106.51696,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-09-07,,,,,,,,
CWHC.135701.1,Merlin,Falco columbarius,Bruno,Saskatchewan,Canada,52.2639843,-105.5253009,Negative ,Combination Sample ,Prairie Diagnostic Services ,2017-08-18,,,,,,,,
CWHC.136457.1,American Crow,Corvus brachyrhynchos,Edmonton,Alberta,Canada,53.5444,-113.4909,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-09-14,,,,,,,,
CWHC.136647.1,California Gull,Larus californicus,,Alberta,Canada,53.4174,-113.469,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-10-05,,,,,,,,
CWHC.136199.1,Swainson's Hawk,Buteo swainsoni,Calgary,Alberta,Canada,51.0486,-114.0708,Negative ,Combination Sample ,Alberta Agri-Food Laboratories Branch ,2017-08-17,,,,,,,,
