"","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y"
"139565","Spatula clypeata","RR12 Gravel Parkland County",2,"2017-10-15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4779376.15389952,2176424.45515421
"139567","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",8,"2017-09-07","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-07,"AB",4829215.189829,2161734.57221178
"139568","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",4,"2017-10-21","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4829215.189829,2161734.57221178
"139573","Spatula clypeata","Vancouver--McCleery Golf Course",1,"2018-01-10 15:56","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2018-01-10,"BC",4012493.6969427,2002637.24875661
"139580","Spatula clypeata","Big Lake--John E. Poole Wetland",6,"2017-10-18","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-18,"AB",4807710.94890133,2178877.29683856
"139582","Spatula clypeata","Abbotsford--Fishtrap Creek Park",1,"2017-11-29 14:44","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-29,"BC",4056865.37340931,1958849.28430408
"139590","Spatula clypeata","Derby Reach Regional Park",2,"2017-12-18 08:55","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-18,"BC",4048267.01497961,1981121.22197223
"139598","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",1,"2017-09-25","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4829215.189829,2161734.57221178
"139603","Spatula clypeata","Coal Lake",10,"2017-09-25","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4812456.33078019,2106637.17755864
"139605","Spatula clypeata","Hwy 601 at Alix",20,"2017-09-23 11:24","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-23,"AB",4791459.59888765,2040934.98011379
"139609","Spatula clypeata","Trinity Western University",4,"2017-11-09 13:30","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-09,"BC",4045200.00283643,1975526.53752135
"139612","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",5,"2017-09-25","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-25,"AB",4829215.189829,2161734.57221178
"139617","Spatula clypeata","Richmond--Gilbert Beach",8,"2017-12-27 10:00","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-27,"BC",4007960.70081827,1991949.47822394
"139619","Spatula clypeata","Roper Park Pond",7,"2017-10-18","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-18,"AB",4816864.00870327,2162145.75264341
"139625","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",5,"2017-09-26","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-26,"AB",4829215.189829,2161734.57221178
"139640","Spatula clypeata","Rge Rd 234 north of Twp Rd 500",12,"2017-09-04","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4816685.40942467,2137833.54053109
"139645","Spatula clypeata","Abbotsford--Fishtrap Creek Park",1,"2017-12-25 12:10","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-25,"BC",4056865.37340931,1958849.28430408
"139649","Spatula clypeata","Murray Marsh",4,"2017-09-02","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-02,"AB",4800299.87118808,2194819.77332181
"139651","Spatula clypeata","CA-AB-36401-36499 Range Road 254A (52.1256,-113.5378)",1,"2017-10-25 13:18","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-25,"AB",4760311.12768493,2022361.49230939
"139661","Spatula clypeata","Kawkawa Lake, Hope",1,"2017-10-28 07:55","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-28,"BC",4134748.14138757,1960134.57532437
"139663","Spatula clypeata","St. Albert--Riel Wetlands--Nadeau Pond",10,"2017-09-22","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-22,"AB",4807695.453169,2179166.99048015
"139665","Spatula clypeata","Sardis Park",7,"2017-12-07 09:48","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-07,"BC",4086164.03821647,1952676.12373182
"139667","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",2,"2017-09-30","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-30,"AB",4829215.189829,2161734.57221178
"139673","Spatula clypeata","Marsh at Range Rd 272 and 587",1,"2017-10-07","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-07,"AB",4739312.85374987,2004772.63207499
"139676","Spatula clypeata","Brunswick Point, Delta",5,"2017-11-30 10:00","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-30,"BC",4005297.71537167,1987221.19946838
"139679","Spatula clypeata","Reifel Bird Sanctuary",3,"2017-09-27 13:00","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-27,"BC",4005117.17973462,1991652.37070744
"139687","Spatula clypeata","Big Lake--Interpretive Trail",2,"2017-10-19","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4802492.51142093,2180418.91111363
"139690","Spatula clypeata","Sardis Park",4,"2017-11-29 10:14","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-29,"BC",4086164.03821647,1952676.12373182
"139696","Spatula clypeata","Reifel Bird Sanctuary",24,"2017-10-29 14:16","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4005117.17973462,1991652.37070744
"139697","Spatula clypeata","Seabird Island",10,"2017-10-28 12:40","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-28,"BC",4107352.45509055,1959107.53977635
"139704","Spatula clypeata","Big Lake--John E. Poole Wetland",1,"2017-10-29","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-29,"AB",4807710.94890133,2178877.29683856
"139707","Spatula clypeata","Cooking Lake",200,"2017-09-18","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-18,"AB",4837650.63291609,2145286.9641471
"139712","Spatula clypeata","Maple Ridge- North end of 216th",1,"2018-01-03 10:30","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2018-01-03,"BC",4049182.641072,1987192.20430771
"139714","Spatula clypeata","Twin Island Lake",20,"2017-09-18","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-18,"AB",4833818.01442183,2153637.24528072
"139717","Spatula clypeata","Marsh on 374",2,"2017-09-30","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-30,"AB",4742271.04138037,2037649.57361057
"139722","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-10-05","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-05,"AB",4829215.189829,2161734.57221178
"139723","Spatula clypeata","Sherwood Park--Centennial Park",2,"2017-10-19","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4827184.60042997,2165297.74075336
"139727","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-10-20","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-20,"AB",4829215.189829,2161734.57221178
"139733","Spatula clypeata","Abbotsford--Willband Creek Park",8,"2017-12-07 11:25","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-07,"BC",4061974.44569012,1957980.72499229
"139761","Spatula clypeata","Abbotsford--Fishtrap Creek Park",1,"2017-10-31 15:53","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-31,"BC",4056865.37340931,1958849.28430408
"139764","Spatula clypeata","St. Albert--Lois Hole Centennial Provincial Park",NA,"2017-10-08","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-08,"AB",4807401.37223811,2178791.99745322
"139765","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-09-15 12:15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-15,"AB",4829215.189829,2161734.57221178
"139768","Spatula clypeata","Hwy 21 / TwpRd 530",41,"2017-09-12","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-12,"AB",4830360.69948857,2162363.13976158
"139772","Spatula clypeata","Marsh on 374",1,"2017-10-07","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-07,"AB",4742271.04138037,2037649.57361057
"139780","Spatula clypeata","Hwy 21 / TwpRd 530",3,"2017-10-15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4830360.69948857,2162363.13976158
"139783","Spatula clypeata","Iona Island (general)",60,"2017-12-21 09:50","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-21,"BC",4009818.07842358,2004433.93434014
"139786","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",2,"2017-10-10","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-10,"AB",4829215.189829,2161734.57221178
"139790","Spatula clypeata","Twin marsh on 590",6,"2017-10-11","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-11,"AB",4768081.42140131,2008078.63711472
"139791","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-10-03","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-03,"AB",4829215.189829,2161734.57221178
"139806","Spatula clypeata","Iona Island inner ponds",NA,"2017-11-09 14:23","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-09,"BC",4010045.30047809,2004004.06592728
"139807","Spatula clypeata","Boundary Bay--72nd St. access",4,"2018-01-10 09:00","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2018-01-10,"BC",4013346.69931014,1982144.86747853
"139814","Spatula clypeata","Greater St Albert area",2,"2017-09-29","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-29,"AB",4809156.34243748,2180908.48391457
"139816","Spatula clypeata","St. Albert--Lynx Pond",2,"2017-10-01","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4807908.48736596,2181661.37252453
"139819","Spatula clypeata","Keephills ponds",2,"2017-10-15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4752419.9176277,2181201.05395835
"139829","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-09-24","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-24,"AB",4829215.189829,2161734.57221178
"139834","Spatula clypeata","Burnaby Lake--Piper Spit",8,"2017-11-22 16:15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-22,"BC",4028596.65530307,1997016.23038674
"139835","Spatula clypeata","Seabird Island",10,"2017-10-28 12:40","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-28,"BC",4107352.45509055,1959107.53977635
"139839","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",4,"2017-09-05","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-05,"AB",4829215.189829,2161734.57221178
"139841","Spatula clypeata","St. Albert--Lois Hole Centennial Provincial Park",9,"2017-10-19","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4807401.37223811,2178791.99745322
"139843","Spatula clypeata","Big Lake--John E. Poole Wetland",1,"2017-10-29 13:10","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-29,"AB",4807710.94890133,2178877.29683856
"139844","Spatula clypeata","Hwy 21 / TwpRd 530",11,"2017-09-09","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-09,"AB",4830360.69948857,2162363.13976158
"139845","Spatula clypeata","CA-AB-36401-36499 Range Road 254A (52.1256,-113.5378)",1,"2017-10-25","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-25,"AB",4760311.12768493,2022361.49230939
"139847","Spatula clypeata","Blackmud Ravine",1,"2017-10-15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4810225.69517997,2157790.85596039
"139849","Spatula clypeata","Roper Park & Natural Area",1,"2017-10-21","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-21,"AB",4816926.83914956,2162136.76050327
"139852","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",1,"2017-10-01","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4829215.189829,2161734.57221178
"139855","Spatula clypeata","Murray Marsh",100,"2017-09-26","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-26,"AB",4800299.87118808,2194819.77332181
"139856","Spatula clypeata","C&E Trail north of Innisfail",4,"2017-10-11","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-11,"AB",4731365.3154612,2024995.97218867
"139858","Spatula clypeata","St. Albert--Lynx Pond",2,"2017-10-06","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-06,"AB",4807908.48736596,2181661.37252453
"139861","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",5,"2017-10-15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4829215.189829,2161734.57221178
"139862","Spatula clypeata","Trinity Western University",4,"2017-11-16 13:30","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-11-16,"BC",4045200.00283643,1975526.53752135
"139864","Spatula clypeata","Clifford E. Lee Nature Sanctuary",5,"2017-09-29","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-29,"AB",4792144.8837496,2161179.37279947
"139865","Spatula clypeata","Chilliwack CBC - Areas 5&8",2,"2017-12-16 07:29","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-16,"BC",4091213.55874526,1957915.1273355
"139873","Spatula clypeata","NW corner Bittern Lake Reed Bed",16,"2017-09-04","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4821781.69407516,2113682.04293387
"139882","Spatula clypeata","Reifel Bird Sanctuary",NA,"2018-01-04 11:12","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2018-01-04,"BC",4005117.17973462,1991652.37070744
"139883","Spatula clypeata","St. Albert--Lois Hole Centennial Provincial Park",NA,"2017-10-15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-15,"AB",4807401.37223811,2178791.99745322
"139885","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-10-22","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-22,"AB",4829215.189829,2161734.57221178
"139887","Spatula clypeata","Range Road 224, Elnora, Alberta, CA (51.972, -113.082)",3,"2017-10-16","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-16,"AB",4783927.77746633,1996154.57820455
"139888","Spatula clypeata","Mill Lake, Abbotsford",2,"2018-01-18 10:40","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2018-01-18,"BC",4058765.96771121,1956412.66604102
"139889","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",11,"2017-09-28","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-28,"AB",4829215.189829,2161734.57221178
"139890","Spatula clypeata","Edmonton--Whitemud Park",2,"2017-10-29","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-29,"AB",4809089.48592069,2164190.59594843
"139891","Spatula clypeata","Abbotsford--Willband Creek Park",7,"2017-10-28 15:00","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-28,"BC",4061974.44569012,1957980.72499229
"139893","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",1,"2017-10-04","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-04,"AB",4829215.189829,2161734.57221178
"139901","Spatula clypeata","Sherwood Park--Heritage Wetlands Park",3,"2017-10-14","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-14,"AB",4829215.189829,2161734.57221178
"139903","Spatula clypeata","Coal Lake",5,"2017-10-17","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-17,"AB",4812456.33078019,2106637.17755864
"139905","Spatula clypeata","Abbotsford--Willband Creek Park",8,"2017-12-13 10:09","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-12-13,"BC",4061974.44569012,1957980.72499229
"139908","Spatula clypeata","Langley--Brydon Lagoon",4,"2017-10-29 12:15","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-29,"BC",4037734.83993045,1974134.2354562
"139917","Spatula clypeata","Big Lake--John E. Poole Wetland",6,"2017-10-28","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-28,"AB",4807710.94890133,2178877.29683856
"139921","Spatula clypeata","RR12 Gravel Parkland County",2,"2017-10-05","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-10-05,"AB",4779376.15389952,2176424.45515421
"139924","Spatula clypeata","Abbotsford--Fishtrap Creek Park",2,"2018-01-31 13:58","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2018-01-31,"BC",4056865.37340931,1958849.28430408
"139931","Spatula clypeata","St. Albert--Riel Wetlands--Nadeau Pond",3,"2017-09-11","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-11,"AB",4807695.453169,2179166.99048015
"139933","Spatula clypeata","Edmonton--Bretona Pond",4,"2017-09-18","Northern Shoveler","ncbi","Spatula clypeata","Anas clypeata","Anas","Anatidae","Anseriformes",2017-09-18,"AB",4822028.96940301,2153982.34024535
"139999","Spatula discors","Edmonton--Gold Bar Park",11,"2017-09-17","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-17,"AB",4821249.88360962,2167304.69452229
"140004","Spatula discors","Blackmud Ravine",1,"2017-09-24","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-24,"AB",4810225.69517997,2157790.85596039
"140022","Spatula discors","Sherwood Park--Heritage Wetlands Park",1,"2017-09-12 15:00","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-12,"AB",4829215.189829,2161734.57221178
"140034","Spatula discors","Cooking Lake",20,"2017-09-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4837650.63291609,2145286.9641471
"140037","Spatula discors","Cooking Lake",5,"2017-09-07","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-07,"AB",4837650.63291609,2145286.9641471
"140046","Spatula discors","Sherwood Park--Heritage Wetlands Park",1,"2017-09-03","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-03,"AB",4829215.189829,2161734.57221178
"140047","Spatula discors","Sherwood Park--Centennial Park",2,"2017-09-10","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-10,"AB",4827184.60042997,2165297.74075336
"140059","Spatula discors","Sherwood Park--Centennial Park",103,"2017-09-20","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-20,"AB",4827184.60042997,2165297.74075336
"140061","Spatula discors","CA-AB-51021-51105 Range Road 210 (53.3749,-112.9511)Campbell lake bcc",9,"2017-09-04","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-04,"AB",4842490.79002905,2139025.98487581
"140082","Spatula discors","Cooking Lake",14,"2017-09-27 09:45","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-27,"AB",4837650.63291609,2145286.9641471
"140090","Spatula discors","Cooking Lake",10,"2017-09-06","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-06,"AB",4837650.63291609,2145286.9641471
"140091","Spatula discors","Clifford E. Lee Nature Sanctuary",55,"2017-09-03","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-03,"AB",4792144.8837496,2161179.37279947
"140093","Spatula discors","Atim Creek; RR271",6,"2017-09-06","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-06,"AB",4794260.63916834,2181145.29662989
"140111","Spatula discors","St. Albert--Riel Wetlands--Nadeau Pond",17,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4807695.453169,2179166.99048015
"140113","Spatula discors","Big Lake--John E. Poole Wetland",2,"2017-09-29","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-29,"AB",4807710.94890133,2178877.29683856
"140114","Spatula discors","Muir Lake",10,"2017-10-16","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-16,"AB",4789567.96062336,2186901.66526442
"140123","Spatula discors","Oakmont Bridge, St. Albert, Alberta",4,"2017-09-26","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-26,"AB",4812230.38818724,2181745.78354872
"140126","Spatula discors","Sherwood Park--Heritage Wetlands Park",1,"2017-09-12","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-12,"AB",4829215.189829,2161734.57221178
"140135","Spatula discors","Creek/Riparian Area Jct 582/241",6,"2017-09-11","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-11,"AB",4834871.45266278,2215037.91648157
"140141","Spatula discors","AB - Atim Creek - R.R. 271 Bridge",2,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4794286.00890254,2181244.61285598
"140142","Spatula discors","Blackmud Creek (111 St & Anthony Henday Dr)",1,"2017-10-03","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-03,"AB",4809899.99570845,2157561.2627318
"140158","Spatula discors","CA-AB-55369-55689 Range Road 271 (53.7774,-113.8929)",1,"2017-09-02","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-02,"AB",4799215.27955903,2201059.64709734
"140169","Spatula discors","Big Lake--John E. Poole Wetland",16,"2017-09-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-01,"AB",4807710.94890133,2178877.29683856
"140176","Spatula discors","Hasse Lake Regional Park",6,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4771388.15865796,2178094.44682276
"140177","Spatula discors","Coal Lake",12,"2017-10-17","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-17,"AB",4812456.33078019,2106637.17755864
"140179","Spatula discors","Genessee Lake",1,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4754270.81718289,2166982.44651644
"140180","Spatula discors","Big Lake--Interpretive Trail",4,"2017-10-19","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-19,"AB",4802492.51142093,2180418.91111363
"140181","Spatula discors","Coal Lake",22,"2017-10-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-10-01,"AB",4812456.33078019,2106637.17755864
"140182","Spatula discors","Strathcona Wilderness Centre",7,"2017-09-09","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-09,"AB",4845167.07414306,2156394.40274366
"140195","Spatula discors","Atim Creek; RR271",2,"2017-09-16","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-16,"AB",4794260.63916834,2181145.29662989
"140196","Spatula discors","St. Albert--Riel Wetlands--Nadeau Pond",1,"2017-09-01","Blue-winged Teal","ncbi","Spatula discors","Anas discors","Anas","Anatidae","Anseriformes",2017-09-01,"AB",4807695.453169,2179166.99048015
