"FID_","FID_triang","SP_ID","x","length","Y","N","JT"
,164,"165",165,812.613081,0,1,"WW"
,448,"449",449,251.042741,0,1,"WW"
,447,"448",448,106.825110,0,1,"WW"
,450,"451",451,433.330701,0,1,"WW"
,435,"436",436,3283.176968,0,1,"WW"
,445,"446",446,284.649449,0,1,"WW"
,447,"448",448,371.525915,0,1,"WW"
,446,"447",447,68.056239,0,1,"WW"
,27,"28",28,174.829317,0,1,"WW"
,17,"18",18,171.473675,0,1,"WW"
,17,"18",18,90.863887,0,1,"WW"
,17,"18",18,247.075772,0,1,"WW"
,19,"20",20,421.725004,0,1,"WW"
,444,"445",445,404.033284,0,1,"WW"
,445,"446",446,132.717140,0,1,"WW"
,434,"435",435,99.776686,0,1,"WW"
,433,"434",434,174.772003,0,1,"WW"
,434,"435",435,225.473439,0,1,"WW"
,435,"436",436,3470.258956,0,1,"WW"
,443,"444",444,477.973130,0,1,"WW"
,433,"434",434,78.142140,0,1,"WW"
,431,"432",432,127.792546,0,1,"WW"
,16,"17",17,385.490736,0,1,"WW"
,21,"22",22,531.068710,0,1,"WW"
,61,"62",62,520.338031,0,1,"WW"
,58,"59",59,654.745127,0,1,"WW"
,431,"432",432,183.778110,0,1,"WW"
,431,"432",432,111.887442,0,1,"WW"
,15,"16",16,243.194659,0,1,"WW"
,16,"17",17,191.006925,0,1,"WW"
,441,"442",442,179.158825,0,1,"WW"
,439,"440",440,113.964741,0,1,"WW"
,22,"23",23,71.931472,0,1,"WW"
,23,"24",24,174.505664,0,1,"WW"
,25,"26",26,165.474606,0,1,"WW"
,25,"26",26,143.995892,0,1,"WW"
,15,"16",16,260.231296,0,1,"WW"
,15,"16",16,203.797716,0,1,"WW"
,22,"23",23,226.168726,0,1,"WW"
,57,"58",58,345.759307,0,1,"WW"
,58,"59",59,866.536706,0,1,"WW"
,59,"60",60,1123.838976,0,1,"WW"
,56,"57",57,1324.433386,0,1,"WW"
,18,"19",19,322.769133,1,1,"BW"
,18,"19",19,289.031506,1,1,"BW"
,20,"21",21,104.076362,1,1,"BW"
,39,"40",40,320.240335,0,1,"WW"
,55,"56",56,49.358836,0,1,"WW"
,34,"35",35,129.966038,0,1,"WW"
,34,"35",35,244.721994,0,1,"WW"
,37,"38",38,120.276328,0,1,"WW"
,428,"429",429,743.805964,0,1,"WW"
,442,"443",443,290.178382,0,1,"WW"
,439,"440",440,112.916254,0,1,"WW"
,438,"439",439,195.987358,0,1,"WW"
,43,"44",44,118.644575,0,1,"WW"
,55,"56",56,110.603361,0,1,"WW"
,54,"55",55,1333.986059,0,1,"WW"
,30,"31",31,111.831429,1,1,"BW"
,30,"31",31,173.209800,0,1,"WW"
,37,"38",38,143.212482,0,1,"WW"
,37,"38",38,99.693012,0,1,"WW"
,42,"43",43,95.924622,0,1,"WW"
,32,"33",33,29.151452,0,1,"WW"
,32,"33",33,181.408719,0,1,"WW"
